"","county","STATEABBREVIATION","dist_SSP","HIVprevalence","opioid_RxRate","pctunins","metro"
"381","lee county","TX",339.4,139,46.3,14.6,"non-metro"
"382","white county","GA",38.33,92.9,92,14,"non-metro"
"383","otter tail county","MN",58.95,28.7,48.5,6,"non-metro"
"384","jackson county","MO",10.12,478.5,68.6,13.3,"metro"
"385","jeff davis county","GA",168.5,49.6,84,18.2,"non-metro"
"386","deuel county","NE",148,-1,0.7,14.7,"non-metro"
"387","gadsden county","FL",218.86,690.8,53.2,15.8,"metro"
"388","guadalupe county","TX",386.71,109,45.3,14.5,"metro"
"389","marion county","AR",81,105.1,78.1,11.1,"non-metro"
"390","waldo county","ME",343.94,108.2,38.6,11.9,"non-metro"
"391","marshall county","IL",74.38,59,48.3,5.3,"metro"
"392","warren county","IA",108.82,39.3,38.4,4,"metro"
"393","sierra county","CA",22.62,265.3,12.4,8.1,"non-metro"
"394","houston county","AL",184.82,366.5,136.2,12.1,"metro"
"395","st. lawrence county","NY",116.29,278.6,65.7,8.6,"non-metro"
"396","rowan county","NC",14.23,-1,72.8,14.1,"metro"
"397","lee county","FL",113.33,333.5,60.8,16.9,"metro"
"398","lamb county","TX",54,189,2.6,21,"non-metro"
"399","cowlitz county","WA",14.2,139.1,76.6,9.1,"metro"
"400","miller county","MO",120.56,43.3,55.4,12.4,"non-metro"
"401","brooks county","TX",487,192.9,58.3,23.5,"non-metro"
"402","jefferson county","TX",176.59,599.3,79.9,21.5,"metro"
"403","lake county","OH",20.25,83.8,61.4,6.7,"metro"
"404","fillmore county","MN",47.17,40.7,29.2,9.3,"metro"
"405","colfax county","NE",221,-1,0.2,11.7,"non-metro"
"406","avery county","NC",30.29,-1,62,18.1,"non-metro"
"407","randall county","TX",85.38,117,69.5,12.6,"metro"
"408","st. francis county","AR",197.5,319.7,89.2,14.7,"non-metro"
"409","comal county","TX",366.71,145.6,69.2,13.9,"metro"
"410","kemper county","MS",212.75,139.3,34.1,13.8,"non-metro"
"411","henry county","AL",162.2,212,26.7,11.5,"metro"
"412","caroline county","MD",51.33,278.1,40.8,10.1,"non-metro"
"413","harper county","KS",226.71,-1,70.7,12.3,"non-metro"
"414","putnam county","NY",35.25,152.8,38.9,6.5,"metro"
"415","johnson county","TN",32.6,121.4,88,12.7,"non-metro"
"416","kittitas county","WA",11,73.8,47.9,11.4,"non-metro"
"417","burnet county","TX",342,139,87.5,15.8,"non-metro"
"418","gaines county","TX",49.67,53,46.6,32.6,"non-metro"
"419","dawson county","TX",77,95,59,20.8,"non-metro"
"420","cochise county","AZ",72.05,186.8,69,10.1,"metro"
"421","beckham county","OK",213.75,158.8,94.9,15,"non-metro"
"422","el paso county","TX",33.47,307.9,34.7,23.8,"metro"
"423","dunn county","WI",27.2,39.4,33.9,7.8,"non-metro"
"424","durham county","NC",12.78,-1,41.6,13.9,"metro"
"425","adams county","CO",12.24,240.4,47.2,15.6,"metro"
"426","gladwin county","MI",71.33,41.1,89,12.5,"non-metro"
